AC No	Enroll No	Name	Auto Assign	InOut	VerifyCode	Door/Device	Time
1	2	"ASHOKA KIRAN"	1	0	1	MainDoor	2026-11-01 17:59:46
1	2	"ASHOKA KIRAN"	1	1	1	MainDoor	2026-11-01 17:59:46
2	4	"SUBRAMANYA"	1	0	1	MainDoor	2026-11-01 19:48:33
2	4	"SUBRAMANYA"	1	1	1	MainDoor	2026-11-01 19:48:33
3	6	"SAI KIRAN"	1	0	1	MainDoor	2026-11-01 18:53:54
3	6	"SAI KIRAN"	1	1	1	MainDoor	2026-11-01 18:53:54
4	11	"ABHISHEK"	1	0	1	MainDoor	2026-11-01 17:24:04
4	11	"ABHISHEK"	1	1	1	MainDoor	2026-11-01 17:24:04
5	1	"RACHITH"	1	0	1	MainDoor	2026-11-02 19:06:01
5	1	"RACHITH"	1	1	1	MainDoor	2026-11-02 19:06:01
6	2	"ASHOKA KIRAN"	1	0	1	MainDoor	2026-11-02 18:35:03
6	2	"ASHOKA KIRAN"	1	1	1	MainDoor	2026-11-02 18:35:03
7	3	"ARSHIN ALBAB"	1	0	1	MainDoor	2026-11-02 19:30:38
7	3	"ARSHIN ALBAB"	1	1	1	MainDoor	2026-11-02 19:30:38
8	4	"SUBRAMANYA"	1	0	1	MainDoor	2026-11-02 18:24:17
8	4	"SUBRAMANYA"	1	1	1	MainDoor	2026-11-02 18:24:17
9	5	"SURESH"	1	0	1	MainDoor	2026-11-02 19:04:20
9	5	"SURESH"	1	1	1	MainDoor	2026-11-02 19:04:20
10	6	"SAI KIRAN"	1	0	1	MainDoor	2026-11-02 18:39:09
10	6	"SAI KIRAN"	1	1	1	MainDoor	2026-11-02 18:39:09
11	7	"KARTHIKEYAN"	1	0	1	MainDoor	2026-11-02 17:15:34
11	7	"KARTHIKEYAN"	1	1	1	MainDoor	2026-11-02 17:15:34
12	8	"JEEVAN"	1	0	1	MainDoor	2026-11-02 19:50:34
12	8	"JEEVAN"	1	1	1	MainDoor	2026-11-02 19:50:34
13	9	"MOHITH"	1	0	1	MainDoor	2026-11-02 17:42:23
13	9	"MOHITH"	1	1	1	MainDoor	2026-11-02 17:42:23
14	10	"RACHITH M R"	1	0	1	MainDoor	2026-11-02 19:22:00
14	10	"RACHITH M R"	1	1	1	MainDoor	2026-11-02 19:22:00
15	11	"ABHISHEK"	1	0	1	MainDoor	2026-11-02 19:46:11
15	11	"ABHISHEK"	1	1	1	MainDoor	2026-11-02 19:46:11
16	12	"PRITHESH"	1	0	1	MainDoor	2026-11-02 17:29:57
16	12	"PRITHESH"	1	1	1	MainDoor	2026-11-02 17:29:57
17	13	"GAUTHAM"	1	0	1	MainDoor	2026-11-02 17:48:00
17	13	"GAUTHAM"	1	1	1	MainDoor	2026-11-02 17:48:00
18	14	"AKASH"	1	0	1	MainDoor	2026-11-02 17:23:09
18	14	"AKASH"	1	1	1	MainDoor	2026-11-02 17:23:09
19	16	"T"	1	0	1	MainDoor	2026-11-02 18:06:50
19	16	"T"	1	1	1	MainDoor	2026-11-02 18:06:50
20	17	"SUBRAMANYA K P"	1	0	1	MainDoor	2026-11-02 17:33:18
20	17	"SUBRAMANYA K P"	1	1	1	MainDoor	2026-11-02 17:33:18
21	2	"ASHOKA KIRAN"	1	0	1	MainDoor	2026-11-03 17:27:53
21	2	"ASHOKA KIRAN"	1	1	1	MainDoor	2026-11-03 17:27:53
22	3	"ARSHIN ALBAB"	1	0	1	MainDoor	2026-11-03 19:22:46
22	3	"ARSHIN ALBAB"	1	1	1	MainDoor	2026-11-03 19:22:46
23	4	"SUBRAMANYA"	1	0	1	MainDoor	2026-11-03 19:29:11
23	4	"SUBRAMANYA"	1	1	1	MainDoor	2026-11-03 19:29:11
24	5	"SURESH"	1	0	1	MainDoor	2026-11-03 19:41:45
24	5	"SURESH"	1	1	1	MainDoor	2026-11-03 19:41:45
25	6	"SAI KIRAN"	1	0	1	MainDoor	2026-11-03 18:49:47
25	6	"SAI KIRAN"	1	1	1	MainDoor	2026-11-03 18:49:47
26	7	"KARTHIKEYAN"	1	0	1	MainDoor	2026-11-03 18:11:48
26	7	"KARTHIKEYAN"	1	1	1	MainDoor	2026-11-03 18:11:48
27	8	"JEEVAN"	1	0	1	MainDoor	2026-11-03 17:47:22
27	8	"JEEVAN"	1	1	1	MainDoor	2026-11-03 17:47:22
28	9	"MOHITH"	1	0	1	MainDoor	2026-11-03 18:02:55
28	9	"MOHITH"	1	1	1	MainDoor	2026-11-03 18:02:55
29	10	"RACHITH M R"	1	0	1	MainDoor	2026-11-03 19:06:25
29	10	"RACHITH M R"	1	1	1	MainDoor	2026-11-03 19:06:25
30	11	"ABHISHEK"	1	0	1	MainDoor	2026-11-03 17:28:53
30	11	"ABHISHEK"	1	1	1	MainDoor	2026-11-03 17:28:53
31	12	"PRITHESH"	1	0	1	MainDoor	2026-11-03 19:38:29
31	12	"PRITHESH"	1	1	1	MainDoor	2026-11-03 19:38:29
32	13	"GAUTHAM"	1	0	1	MainDoor	2026-11-03 18:54:27
32	13	"GAUTHAM"	1	1	1	MainDoor	2026-11-03 18:54:27
33	14	"AKASH"	1	0	1	MainDoor	2026-11-03 18:40:15
33	14	"AKASH"	1	1	1	MainDoor	2026-11-03 18:40:15
34	16	"T"	1	0	1	MainDoor	2026-11-03 19:17:03
34	16	"T"	1	1	1	MainDoor	2026-11-03 19:17:03
35	17	"SUBRAMANYA K P"	1	0	1	MainDoor	2026-11-03 19:05:37
35	17	"SUBRAMANYA K P"	1	1	1	MainDoor	2026-11-03 19:05:37
36	1	"RACHITH"	1	0	1	MainDoor	2026-11-04 18:04:38
36	1	"RACHITH"	1	1	1	MainDoor	2026-11-04 18:04:38
37	2	"ASHOKA KIRAN"	1	0	1	MainDoor	2026-11-04 17:12:29
37	2	"ASHOKA KIRAN"	1	1	1	MainDoor	2026-11-04 17:12:29
